Forward,Speed
-12,5
-12,63
-12,65
-11,90
-11,90
-10,88
-9,87
-5,79
-6,82
-8,103
-8,103
-10,103
-10,103
-10,103
-10,103
-12,103
-12,103
-12,103
-13,103
-45,108
-45,108
-79,112
-80,112
-81,113
-81,113
-78,113
-76,112
-81,113
-81,113
-172,121
-176,121
-156,122
-154,122
38,130
40,131
122,132
123,132
155,127
155,127
137,131
137,131
163,125
162,125
140,130
137,131
-53,145
-55,145
-146,129
-152,127
-199,117
-203,116
-218,112
-221,112
-214,96
-212,95
-157,67
-152,64
-155,66
-27,38
-193,95
-194,96
-221,98
-221,98
-183,87
-179,86
-163,81
-162,80
-104,57
-104,57
-102,55
-102,55
-113,61
-116,62
-178,85
-183,87
-251,105
-251,105
-231,100
-228,100
-228,100
-228,100
-228,100
-226,99
-226,99
-225,99
-205,94
57,-29
59,-31
65,-34
131,-68
130,-68
124,-65
123,-65
122,-64
122,-64
122,-64
122,-64
163,-81
167,-82
186,-88
-30,14
-204,93
-203,93
-133,132
-130,132
14,128
15,130
13,135
15,135
144,130
146,129
152,128
153,127
181,121
181,121
191,118
191,118
195,118
199,117
216,113
216,113
107,137
75,143
-189,120
-187,120
-248,107
-248,106
-251,105
-251,105
-240,102
-27,53
-127,133
-128,133
-130,132
-131,132
-123,134
-119,134
34,148
48,147
89,141
91,140
124,134
124,133
11,149
3,149
-94,140
-99,138
-131,132
-130,132
-116,135
-116,135
-93,140
-92,140
-27,148
-25,148
-64,144
-62,144
-61,145
-61,145
-60,145
-59,145
-56,145
-55,145
0,149
0,149
52,146
49,146
36,148
41,64
44,64
-69,51
-187,81
-189,84
-137,71
-134,70
-130,68
-130,68
-130,68
-128,67
-125,66
-124,65
-124,65
32,-58
99,-72
129,-77
216,-97
214,-96
214,-96
-65,27
-67,28
-71,55
-110,84
-128,97
-171,123
-171,123
-171,123
-172,123
-242,108
-240,108
-201,117
-199,117
-191,118
-191,119
-191,119
-189,120
9,149
9,149
-5,149
-109,102
-89,141
-87,141
-62,144
-58,145
-29,148
0,69
-11,124
-10,128
31,148
31,148
54,145
56,145
62,144
62,144
52,146
52,146
5,149
3,149
58,145
59,145
52,146
48,147
71,143
73,143
31,148
32,148
122,134
120,134
37,147
36,148
5,149
5,149
3,149
3,149
-60,145
-83,141
-226,111
-228,111
-239,102
-237,102
-237,102
-237,102
-240,108
-223,111
-5,149
-2,149
61,145
64,144
109,137
22,32
105,55
105,55
130,68
130,68
150,76
150,76
162,80
160,80
146,74
96,50
94,52
94,52
94,52
-68,-62
-75,-64
-90,-67
-174,-84
-174,-84
-167,-82
-167,-82
-167,-82
12,67
55,133
56,137
20,147
20,147
37,147
38,147
38,147
-46,28
-23,97
-23,98
-6,101
-5,102
-6,104
-6,103
-3,102
-5,102
-72,102
-76,102
-85,102
-87,102
-107,100
-108,99
-124,97
-122,97
-85,99
-76,100
12,114
12,114
21,114
22,114
16,115
16,115
-7,115
-11,117
-4,123
-5,123
-5,123
-6,123
-15,123
-16,124
-16,124
-17,124
-130,130
-136,128
-52,134
-45,135
-5,138
-5,138
155,127
157,127
163,125
165,124
187,120
187,120
181,121
19,47
23,104
24,104
24,107
25,107
45,110
45,110
46,111
45,111
28,118
27,118
23,118
23,118
-59,114
-68,112
17,128
17,129
-14,130
-14,130
-13,130
-13,130
-13,130
-16,130
-16,130
-38,84
-200,112
-204,112
-219,112
58,57
174,84
174,84
157,78
155,78
152,77
152,77
150,76
149,75
149,75
149,75
143,73
-39,-49
-133,-63
-135,-64
-153,-77
-152,-77
-141,-72
-140,-72
-140,-72
-141,-72
106,60
117,70
237,108
133,93
223,111
221,112
237,102
236,101
199,92
197,91
191,90
191,90
189,89
189,89
186,88
185,88
174,84
174,84
174,84
174,84
172,84
171,83
167,82
165,81
165,81
163,81
155,78
-6,3
-118,-60
-125,-63
-207,-94
-205,-94
-199,-92
-199,-92
-199,-92
91,45
209,90
216,92
233,110
47,29
47,29
85,58
-15,85
-4,92
-41,115
-41,116
-101,104
-103,104
-144,93
-152,92
-203,84
-202,84
-190,82
-187,82
-143,71
-143,71
-174,83
-179,85
-202,91
-198,91
-193,90
-195,91
-140,72
-138,71
-119,63
-119,63
-112,60
-111,60
-107,58
-105,57
-101,55
-99,54
-93,51
-92,51
-89,50
-91,50
-94,52
23,-47
203,-85
201,-85
